RT @DELIJEDelije: sve ludo@DELIJEDelije @ http://t.co/Bz9n0TIMKl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	latin
Evo me u banci završavam čekove #devedesete	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	latin
Gledaj __telo__, gledaj vrat, ne gledaj na rolex sat! (@ Energy Gym) http://t.co/vwggQfaaDi	NA	e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	latin
@ja_nisam_odavle aladeen mada faka :D.. Najjaci :D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	latin
RT @LazaRos_69: Izvini diplomato	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	latin
Ohayo http://t.co/9QgwKZKQxN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	latin
Što se ovog četvrtka tiče upravo palim __svetlo__.	NA	e	NA	NA	NA	NA	NA	NA	NA	NA	sto	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	latin
RT @BOEM_SEOSKI: - VOLIM TE. - OTKUD ZNAŠ DA JE TO LJUBAV!? - KAD MISLIM NA TEBE TEŠKO DIŠEM. - TO NIJE LJUBAV, TO JE ASMA. - VAŽI, OND…	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	da	NA	NA	NA	NA	0.0	latin
RT @MilicaLeptirica: Imam tako zelju da odem u onu crnacku crkvu i da padam u trans...	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	da	NA	NA	NA	NA	0.0	latin
RT @olja_bg: Tviteraši, hajde da udomimo ove mačiće. Molim RT http://t.co/jf26lwt2Ih	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	da	NA	NA	NA	NA	0.0	latin
